date,is_weekend,is_open,type_frequentation,jf,id_attraction,capacite salle,capacite file d'attente,capacite pre-salle,duree,cycle_attraction_max,duty_cycle_max,visitor_count,ec_value,temperature,humidite,rayonnement_solaire,temp_max,temp_min,temp_moy,humidite_max,humidite_min,humidite_moy,hour,min,day,month,year,week,id
2025-02-21 12:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,352.0,4.219999999998254,13.8,71.3281,224.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,12,0,21,2,2025,8,1237
2025-02-21 13:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,321.0,3.139999999999418,14.9,67.56214,287.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,13,0,21,2,2025,8,1238
2025-02-21 14:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,329.0,1.1199999999982535,15.65,65.260155,337.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,14,0,21,2,2025,8,1239
2025-02-21 15:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,349.0,0.0,16.2,63.219814,356.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,15,0,21,2,2025,8,1240
2025-02-21 16:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,292.0,0.0,16.15,64.280716,265.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,16,0,21,2,2025,8,1241
2025-02-21 17:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,244.0,0.0,16.0,64.247375,180.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,17,0,21,2,2025,8,1242
2025-02-21 18:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,224.0,0.0,15.25,64.297295,47.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,18,0,21,2,2025,8,1243
2025-02-21 19:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,130.0,0.0,14.2,68.10526,3.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,19,0,21,2,2025,8,1244
2025-02-21 20:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,4.0,7.860000000002037,12.95,74.12506,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,20,0,21,2,2025,8,1245
2025-02-21 21:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,11.06000000000058,12.6,69.41898,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,21,0,21,2,2025,8,1246
