date,visitor_count,elec_1,elec_2,elec_3,cycle_attraction_max,duty_cycle_max,capacite salle,capacite file d'attente,capacite pre-salle,is_weekend,jf,is_open,type_frequentation,temperature,temp_max,temp_min,temp_moy,humidite,humidite_max,humidite_min,humidite_moy,rayonnement_solaire,hour,min,day,month,year,week
2025-02-14 23:00:00,0,38.00325,21.21,6.66,3.0,0.6,190,800,190,0,0,1,MF,2.75,8.9,2.75,5.7166667,78.88558,87.921165,60.834217,76.618645,0.0,23,0,14,2,2025,7
2025-02-15 00:00:00,0,37.31875,21.55,10.04,4.5,0.6,190,800,190,1,0,1,HF,2.0,10.2,-0.85,3.29375,81.40679,87.379425,51.165516,71.15106,0.0,0,0,15,2,2025,7
2025-02-15 01:00:00,0,36.696,20.69,11.9,4.5,0.6,190,800,190,1,0,1,HF,0.25,10.2,-0.85,3.29375,87.379425,87.379425,51.165516,71.15106,0.0,1,0,15,2,2025,7
2025-02-15 02:00:00,0,37.638,21.25,11.1,4.5,0.6,190,800,190,1,0,1,HF,0.7,10.2,-0.85,3.29375,87.1036,87.379425,51.165516,71.15106,0.0,2,0,15,2,2025,7
2025-02-15 03:00:00,0,37.345,21.25,7.9,4.5,0.6,190,800,190,1,0,1,HF,0.3,10.2,-0.85,3.29375,83.60757,87.379425,51.165516,71.15106,0.0,3,0,15,2,2025,7
2025-02-15 04:00:00,0,38.327,22.43,1.2,4.5,0.6,190,800,190,1,0,1,HF,-0.45,10.2,-0.85,3.29375,83.51444,87.379425,51.165516,71.15106,0.0,4,0,15,2,2025,7
2025-02-15 05:00:00,0,38.947,22.41,2.8,4.5,0.6,190,800,190,1,0,1,HF,-0.55,10.2,-0.85,3.29375,80.74961,87.379425,51.165516,71.15106,0.0,5,0,15,2,2025,7
2025-02-15 06:00:00,0,52.798,22.48,2.2,4.5,0.6,190,800,190,1,0,1,HF,-0.75,10.2,-0.85,3.29375,79.52217,87.379425,51.165516,71.15106,0.0,6,0,15,2,2025,7
2025-02-15 07:00:00,0,58.572,24.15,0.0,4.5,0.6,190,800,190,1,0,1,HF,-0.85,10.2,-0.85,3.29375,78.32336,87.379425,51.165516,71.15106,0.0,7,0,15,2,2025,7
2025-02-15 08:00:00,0,72.894,25.75,0.0,4.5,0.6,190,800,190,1,0,1,HF,-0.8,10.2,-0.85,3.29375,75.72594,87.379425,51.165516,71.15106,0.0,8,0,15,2,2025,7
2025-02-15 09:00:00,0,103.408,53.63,6.2,4.5,0.6,190,800,190,1,0,1,HF,0.2,10.2,-0.85,3.29375,69.88756,87.379425,51.165516,71.15106,32.0,9,0,15,2,2025,7
2025-02-15 10:00:00,241,160.264,77.44,12.5,4.5,0.6,190,800,190,1,0,1,HF,1.7,10.2,-0.85,3.29375,67.88065,87.379425,51.165516,71.15106,129.0,10,0,15,2,2025,7
2025-02-15 11:00:00,520,195.8,112.12,17.1,4.5,0.6,190,800,190,1,0,1,HF,3.4,10.2,-0.85,3.29375,65.289154,87.379425,51.165516,71.15106,239.0,11,0,15,2,2025,7
2025-02-15 12:00:00,325,207.15,126.5,20.3,4.5,0.6,190,800,190,1,0,1,HF,5.1,10.2,-0.85,3.29375,62.39413,87.379425,51.165516,71.15106,300.0,12,0,15,2,2025,7
2025-02-15 13:00:00,189,180.766,97.21,11.3,4.5,0.6,190,800,190,1,0,1,HF,7.1,10.2,-0.85,3.29375,58.90023,87.379425,51.165516,71.15106,372.0,13,0,15,2,2025,7
2025-02-15 14:00:00,180,186.664,106.05,19.8,4.5,0.6,190,800,190,1,0,1,HF,9.5,10.2,-0.85,3.29375,53.428345,87.379425,51.165516,71.15106,461.0,14,0,15,2,2025,7
2025-02-15 15:00:00,195,207.631,126.82,11.4,4.5,0.6,190,800,190,1,0,1,HF,10.2,10.2,-0.85,3.29375,51.165516,87.379425,51.165516,71.15106,475.0,15,0,15,2,2025,7
2025-02-15 16:00:00,204,209.579,127.71,14.6,4.5,0.6,190,800,190,1,0,1,HF,9.8,10.2,-0.85,3.29375,52.933804,87.379425,51.165516,71.15106,378.0,16,0,15,2,2025,7
2025-02-15 17:00:00,167,198.561,117.83,17.2,4.5,0.6,190,800,190,1,0,1,HF,8.8,10.2,-0.85,3.29375,58.271915,87.379425,51.165516,71.15106,243.0,17,0,15,2,2025,7
2025-02-15 18:00:00,141,203.791,121.52,8.2,4.5,0.6,190,800,190,1,0,1,HF,6.9,10.2,-0.85,3.29375,64.20028,87.379425,51.165516,71.15106,95.0,18,0,15,2,2025,7
2025-02-15 19:00:00,29,126.248,54.2,8.0,4.5,0.6,190,800,190,1,0,1,HF,4.9,10.2,-0.85,3.29375,69.823135,87.379425,51.165516,71.15106,4.0,19,0,15,2,2025,7
2025-02-15 20:00:00,0,62.122,18.95,6.2,4.5,0.6,190,800,190,1,0,1,HF,3.95,10.2,-0.85,3.29375,70.6538,87.379425,51.165516,71.15106,0.0,20,0,15,2,2025,7
2025-02-15 21:00:00,0,64.165,20.67,6.4,4.5,0.6,190,800,190,1,0,1,HF,3.2,10.2,-0.85,3.29375,72.33758,87.379425,51.165516,71.15106,0.0,21,0,15,2,2025,7
2025-02-15 22:00:00,0,64.431,21.4,5.0,4.5,0.6,190,800,190,1,0,1,HF,2.65,10.2,-0.85,3.29375,74.38723,87.379425,51.165516,71.15106,0.0,22,0,15,2,2025,7
2025-02-15 23:00:00,0,61.3205,20.69,6.66,4.5,0.6,190,800,190,1,0,1,HF,1.8,10.2,-0.85,3.29375,78.73926,87.379425,51.165516,71.15106,0.0,23,0,15,2,2025,7
