Date,Hour,D11_ELEC_MTH_general TD Audio [kWh] [D11 - Futur l'expo (MTH)],D11_ELEC_MTH_inter general scenique [kWh] [D11 - Futur l'expo (MTH)]
2025-06-18 19:00:00.000,19:00,13.401599999994506,35.007999999984165
2025-06-18 20:00:00.000,20:00,12.595200000016485,35.96800000004005
2025-06-18 21:00:00.000,21:00,12.59519999998156,35.007999999984165
2025-06-18 22:00:00.000,22:00,11.40480000001844,31.385600000014527
2025-06-18 23:00:00.000,23:00,8.651885714303768,27.615085714267167
2025-06-19 00:00:00.000,00:00,8.042514285715463,27.89851428571523
2025-06-19 01:00:00.000,01:00,8.921599999978207,27.104000000027007
2025-06-19 02:00:00.000,02:00,8.790399999980583,27.37280000000028
2025-06-19 03:00:00.000,03:00,8.204799999995156,28.031999999983235
2025-06-19 04:00:00.000,04:00,8.992000000015832,27.199999999953434
2025-06-19 05:00:00.000,05:00,8.793600000021979,27.77600000007078
2025-06-19 06:00:00.000,06:00,10.00959999996703,30.835199999948962
2025-06-19 07:00:00.000,07:00,9.990400000032968,35.96799999999348
2025-06-19 08:00:00.000,08:00,10.009599999967032,36.03200000000652
2025-06-19 09:00:00.000,09:00,11.500799999997252,35.366399999998976
2025-06-19 10:00:00.000,10:00,13.29920000002021,35.31520000002347
2025-06-19 11:00:00.000,11:00,14.006400000001303,35.67999999996973
2025-06-19 12:00:00.000,12:00,13.855709090905624,35.411200000043024
2025-06-19 13:00:00.000,13:00,14.53789090907561,35.007999999984165
2025-06-19 14:00:00.000,14:00,14.39360000002198,35.99359999999869
2025-06-19 15:00:00.000,15:00,13.60639999997802,35.008000000030734
2025-06-19 16:00:00.000,16:00,13.38880000001518,36.00639999993145
2025-06-19 17:00:00.000,17:00,13.401600000017789,35.008000000030734
2025-06-19 18:00:00.000,18:00,11.60319999998901,35.007999999984165
2025-06-19 19:00:00.000,19:00,12.991999999992549,35.96800000004005
2025-06-19 20:00:00.000,20:00,12.019200000003911,35.007999999984165
2025-06-19 21:00:00.000,21:00,13.587200000009034,35.99359999999869
2025-06-19 22:00:00.000,22:00,11.404799999983515,30.80959999996703
2025-06-19 23:00:00.000,23:00,8.664685714268126,28.165485714309447
2025-06-20 00:00:00.000,00:00,8.935314285737695,27.034514285748756
2025-06-20 01:00:00.000,01:00,8.099199999996927,27.871999999997207
2025-06-20 02:00:00.000,02:00,8.892800000024726,27.53279999998631
2025-06-20 03:00:00.000,03:00,8.793599999975413,27.199999999953434
2025-06-20 04:00:00.000,04:00,10.009600000001956,27.77600000007078
