Date,Hour,A13_Elec_Aquascope_TGBT1 (attraction) [kWh] [A13 - Aquascope],A13_Elec_Aquascope_TGBT2 (batiment) [kWh] [A13 - Aquascope],A13_ELEC Energie Compteur Electrique TGBT1 GENERAL [kWh] [A13 - Aquascope],A13_ELEC Energie Compteur Electrique TGBT2 GENERAL [kWh] [A13 - Aquascope]
2025-06-30 17:00:00.000,17:00,347,362.2,217.31080926834832,230.809268348362
2025-06-30 18:00:00.000,18:00,346.2,373.6,217.31080926834832,230.809268348362
2025-06-30 19:00:00.000,19:00,321,243.79999999999998,217.31080926834832,230.809268348362
2025-06-30 20:00:00.000,20:00,146.8,167.2,217.31080926834832,230.809268348362
2025-06-30 21:00:00.000,21:00,138.3846153846154,142.7076923076923,217.31080926834832,230.809268348362
2025-06-30 22:00:00.000,22:00,173.01538461538462,167.2923076923077,217.31080926834832,230.809268348362
2025-06-30 23:00:00.000,23:00,165.6,151.4,217.31080926834832,230.809268348362
2025-07-01 00:00:00.000,00:00,154.39999999999998,145.60000000000002,217.31080926834832,230.809268348362
2025-07-01 01:00:00.000,01:00,151,147,217.31080926834832,230.809268348362
2025-07-01 02:00:00.000,02:00,148.87272727272727,143.03636363636363,217.31080926834832,230.809268348362
2025-07-01 03:00:00.000,03:00,154.52727272727273,153.96363636363634,217.31080926834832,230.809268348362
2025-07-01 04:00:00.000,04:00,153.2,161,217.31080926834832,230.809268348362
2025-07-01 05:00:00.000,05:00,160.6,169.6,217.31080926834832,230.809268348362
2025-07-01 06:00:00.000,06:00,157.2,176.2,217.31080926834832,230.809268348362
2025-07-01 07:00:00.000,07:00,155,156.4,217.31080926834832,230.809268348362
2025-07-01 08:00:00.000,08:00,150.6,140.79999999999998,217.31080926834832,230.809268348362
2025-07-01 09:00:00.000,09:00,140,129.6,217.31080926834832,230.809268348362
2025-07-01 10:00:00.000,10:00,132,145.8,217.31080926834832,230.809268348362
2025-07-01 11:00:00.000,11:00,132.4,135.60000000000002,217.31080926834832,230.809268348362
2025-07-01 12:00:00.000,12:00,184.8,180.6,217.31080926834832,230.809268348362
2025-07-01 13:00:00.000,13:00,314.4,338.8,217.31080926834832,230.809268348362
2025-07-01 14:00:00.000,14:00,344.79999999999995,359.20000000000005,217.31080926834832,230.809268348362
2025-07-01 15:00:00.000,15:00,313.2,324.4,217.31080926834832,230.809268348362
2025-07-01 16:00:00.000,16:00,368.8235294117647,390.1058823529412,217.31080926834832,230.809268348362
2025-07-01 17:00:00.000,17:00,325.1764705882353,354.29411764705884,217.31080926834832,230.809268348362
2025-07-01 18:00:00.000,18:00,331.70000000000005,360.2,217.31080926834832,230.809268348362
2025-07-01 19:00:00.000,19:00,138.6,226.6,217.31080926834832,230.809268348362
2025-07-01 20:00:00.000,20:00,127.3,212.70000000000002,217.31080926834832,230.809268348362
2025-07-01 21:00:00.000,21:00,105,142.3,217.31080926834832,230.809268348362
2025-07-01 22:00:00.000,22:00,117.4,160.8,217.31080926834832,230.809268348362
2025-07-01 23:00:00.000,23:00,120,158.4,217.31080926834832,230.809268348362
2025-07-02 00:00:00.000,00:00,102.1,148.5,217.31080926834832,230.809268348362
2025-07-02 01:00:00.000,01:00,115.9,143.5,217.31080926834832,230.809268348362
2025-07-02 02:00:00.000,02:00,121.18181818181819,138.27272727272728,217.31080926834832,230.809268348362
2025-07-02 03:00:00.000,03:00,121.81818181818183,158.3272727272727,217.31080926834832,230.809268348362
2025-07-02 04:00:00.000,04:00,120,163,217.31080926834832,230.809268348362
2025-07-02 05:00:00.000,05:00,117.19999999999999,168,217.31080926834832,230.809268348362
2025-07-02 06:00:00.000,06:00,121.80000000000001,166,217.31080926834832,230.809268348362
2025-07-02 07:00:00.000,07:00,122.8,143,217.31080926834832,230.809268348362
2025-07-02 08:00:00.000,08:00,129.8,144.39999999999998,152.74684682113914,158.65932113913937
